VERB;WORDNET;WN_OFFSET;VERBNET;FRAMENET;ABBR
AGAIN;repeat.v.01;v00958334;;;G
ASK;ask.v.01;v00784342;;40;
BREAK;break.v.05;v00334996;break-45.1;414,416,1862;
BURN;burn.v.01;v00378664;hurt-40.8.3-2,other_cos-45.4;112,2824;
CLIMB;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;
CURSE;curse.v.03;v00865958;;;
DIG;dig.v.01;v01309701;;;
DIG_IN;dig.v.02;v01311103;create-26.4-1;269;
DRINK;drink.v.01;v01170052;eat-39.1-2,devour-39.4-2;263;
DROP;shed.v.01;v01513430;;55;
EAT;eat.v.01;v01168468;eat-39.1-1;263;
ENTER;enter.v.01;v02016523;escape-51.1-1;54;
EXAMINE;examine.v.02;v002131279;investigate-35.4,sight-30.2,see-30.1-1;1262;X
FEEL;feel.v.03;v02106006;see-30.1-1;66;
FILL;fill.v.01;v00452512;fill-9.8,other_cos-45.4;59;
GIVE;give.v.03;v02199590;give-13.1-1;139;
GO;travel.v.01;v01835496;run-51.3.2;7;N,E,S,W,NE,SE,NW,SW,U,D
HIT;hit.v.03;v01400044;hit-18.1-1;112,424;
INVENTORY;inventory.v.01;v02472495;;;
JUMP;jump.v.01;v01963942;run-51.3.2;64;
LISTEN;listen.v.01;v02169891;peer-30.3;66;
LOOK;look.v.01;v02130524;peer-30.3;66;L
OPEN;open.v.01;v01346003;crane-40.3.2,other_cos-45.4,spatial_configuration-47.6;254;
PRAY;pray.v.01;long-32.2-1;301;
PULL;pull.v.04;v01609287;carry-11.4,push-12-1;55;
PUSH;push.v.01;v01871979;carry-11.4-1-1,funnel-9.3-2-1,push-12-1-1;55;
PUT;put.v.01;v01494310;put-9.1-2;62;
PUT_IN;insert.v.02;v00187526;;62;
SEARCH;search.v.04;v01317723;search-35.2;31;
SHOW;show.v.01;v02148788;fulfilling-13.4.1,transfer_mesg-37.1.1;2161;
SING;sing.v.01,sing.v.02;v01731031,v01729431;manner_speaking-37.3,performance-26.7-1-1;38;
SLEEP;sleep.v.01;v00014742;snooze-40.4;264;
SMELL;smell.v.01;v02124748;see-30.1,stalk-35.3;66;
TAKE_OFF;take_off.v.06;v00050454;;1210;
TAKE;take.v.04;v01214265;;410;
TALK;talk.v.02;v00941990;talk-37.5;43;
TELL;tell.v.03;v00953216;say-37.7-1,tell-37.2,transfer_mesg-37.1.1-1-1;20,750;
TURN_OFF;switch_off.v.01;v01510576;;1688;
TURN_ON;switch_on.v.01;v01510399;;1688;
TURN;turn.v.09;v02096167;roll-51.3.1;276,683;
UNDO;undo.v.01;v01519977;;1390;
UNLOCK;unlock.v.01;v01348705;disassemble-23.3;;
WAIT;wait.v.01;v02637938;exist-47.1-1;;Z
WAKE_UP;wake_up.v.02;v00018526;appear-48.1.1,other_cos-45.4;293;
WAVE;brandish.v.01;v01446901;modes_of_being_with_motion-47.3;276;
WEAR;wear.v.02;v00047745;simple_dressing-41.3.1;160;

SEQUENCE;sequence.n.02;n05044822;;2135;
