ACTION;WORDNET;WN_OFFSET;VERBNET;FRAMENET;NPC
1;choose.v.01;v00674607;get-13.5.1;352;0
2;choose.v.01;v00674607;get-13.5.1;352;0
3;choose.v.01;v00674607;get-13.5.1;352;0
4;choose.v.01;v00674607;get-13.5.1;352;0
adjust aerial;adjust.v.01;v00296178;;1376;0
adjust videophone;adjust.v.01;v00296178;;1376;0
adventurer, open door;open.v.01;v01346003;crane-40.3.2,other_cos-45.4,spatial_configuration-47.6;254;1
aft;travel.v.01;v01835496;run-51.3.2;7;0
again;repeat.v.01;v00958334;;;
agganrw;;;;;0
ahead;travel.v.01;v01835496;run-51.3.2;7;0
aim bazooka at pod;aim.v.01;v01151110;;1901;0
aimfiz belboz;;;;;0
alexis, heel;list.v.04;v02038791;;;1
amy, leave;leave.v.01;v02009433;;57;1
anoint me;anoint.v.02;v00085626;dub-29.3-1,fill-9.8;301;1
anoppe;;;;;0
answer "a well";answer.v.01;v00815686;;42;0
answer phone;answer.v.02;v00719590;;;0
aragon;say.v.08;v00979870;say-37.7-1;6;0
arrest bill;collar.v.01;v01215137;;202;0
ask about evidence;ask.v.01;v00784342;;40;0
ask alan about key;ask.v.01;v00784342;;40;0
ask alan about novel;ask.v.01;v00784342;;40;0
ask allarah about black;ask.v.01;v00784342;;40;0
ask allarah about jewel;ask.v.01;v00784342;;40;0
ask allarah about red;ask.v.01;v00784342;;40;0
ask allarah about white;ask.v.01;v00784342;;40;0
ask angela about affliction;ask.v.01;v00784342;;40;0
ask barkeep about thad;ask.v.01;v00784342;;40;0
ask barman about job;ask.v.01;v00784342;;40;0
ask belboz about cube;ask.v.01;v00784342;;40;0
ask belboz about figure;ask.v.01;v00784342;;40;0
ask belboz about me;ask.v.01;v00784342;;40;0
ask bly about monster;ask.v.01;v00784342;;40;0
ask bly about problem;ask.v.01;v00784342;;40;0
ask bum about anna;ask.v.01;v00784342;;40;0
ask bum about brother;ask.v.01;v00784342;;40;0
ask bum about crypt;ask.v.01;v00784342;;40;0
ask bum about himself;ask.v.01;v00784342;;40;0
ask charles about chest;ask.v.01;v00784342;;40;0
ask charles about temple;ask.v.01;v00784342;;40;0
ask cheryl for hologram;ask.v.02;v00752493;;41;0
ask coach for trophy;ask.v.02;v00752493;;41;0
ask computestor about videophone;ask.v.01;v00784342;;40;0
ask delbin about ale;ask.v.01;v00784342;;40;0
ask delbin about minirva;ask.v.01;v00784342;;40;0
ask detective about chelsea;ask.v.01;v00784342;;40;0
ask doc about syringe;ask.v.01;v00784342;;40;0
ask dragon about black;ask.v.01;v00784342;;40;0
ask dragon about jewel;ask.v.01;v00784342;;40;0
ask dragon about red;ask.v.01;v00784342;;40;0
ask dragon about trinket;ask.v.01;v00784342;;40;0
ask dragon about white;ask.v.01;v00784342;;40;0
ask fairy godmother about cinderella;ask.v.01;v00784342;;40;0
ask fairy godmother about dress;ask.v.01;v00784342;;40;0
ask fairy godmother about horse;ask.v.01;v00784342;;40;0
ask farmer about oyster;ask.v.01;v00784342;;40;0
ask female about bar;ask.v.01;v00784342;;40;0
